DATA_REFERENCIA,DISTRICTE,BARRI,NACIONALITAT,SEXE,POBLACIO
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,Dona,6
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ESPANYA                       ,Home,12
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,"MARROC, EL                    ",Home,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,"REPÚBLICA DOMINICANA, LA      ",Dona,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ROMANIA                       ,Dona,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ROMANIA                       ,Home,1
2011,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,"SENEGAL, EL                   ",Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"ARGENTINA, L                  ",Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"ARGENTINA, L                  ",Home,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ARMÈNIA                       ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,BOLÍVIA                       ,Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"BRASIL, EL                    ",Dona,5
2011,DISTRICTE 1,CEMENTIRI VELL                ,COLÒMBIA                      ,Dona,6
2011,DISTRICTE 1,CEMENTIRI VELL                ,COLÒMBIA                      ,Home,6
2011,DISTRICTE 1,CEMENTIRI VELL                ,CROÀCIA                       ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,CUBA                          ,Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,CUBA                          ,Home,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,DOMINICA                      ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,EL SALVADOR                   ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"EQUADOR, L                    ",Dona,4
2011,DISTRICTE 1,CEMENTIRI VELL                ,"EQUADOR, L                    ",Home,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,Dona,88
2011,DISTRICTE 1,CEMENTIRI VELL                ,ESPANYA                       ,Home,99
2011,DISTRICTE 1,CEMENTIRI VELL                ,"ESTATS UNITS D AMÈRICA, ELS   ",Home,3
2011,DISTRICTE 1,CEMENTIRI VELL                ,FRANÇA                        ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,GHANA                         ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,GUATEMALA                     ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,HONDURES                      ,Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,HONDURES                      ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"IRAN, L                       ",Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"IRAN, L                       ",Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ITÀLIA                        ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ITÀLIA                        ,Home,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,MALÀISIA                      ,Dona,3
2011,DISTRICTE 1,CEMENTIRI VELL                ,"MARROC, EL                    ",Dona,12
2011,DISTRICTE 1,CEMENTIRI VELL                ,"MARROC, EL                    ",Home,23
2011,DISTRICTE 1,CEMENTIRI VELL                ,MÈXIC                         ,Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PAÏSOS BAIXOS, ELS            ",Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PAKISTAN, EL                  ",Dona,3
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PAKISTAN, EL                  ",Home,5
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PARAGUAI, EL                  ",Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PERÚ, EL                      ",Dona,4
2011,DISTRICTE 1,CEMENTIRI VELL                ,"PERÚ, EL                      ",Home,3
2011,DISTRICTE 1,CEMENTIRI VELL                ,POLÒNIA                       ,Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,PORTUGAL                      ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"REGNE UNIT, EL                ",Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"REGNE UNIT, EL                ",Home,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"REPÚBLICA DOMINICANA, LA      ",Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,ROMANIA                       ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,ROMANIA                       ,Home,3
2011,DISTRICTE 1,CEMENTIRI VELL                ,RÚSSIA                        ,Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"SENEGAL, EL                   ",Home,6
2011,DISTRICTE 1,CEMENTIRI VELL                ,SUÏSSA                        ,Dona,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,"URUGUAI, L                    ",Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,VENEÇUELA                     ,Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,VENEÇUELA                     ,Home,5
2011,DISTRICTE 1,CEMENTIRI VELL                ,XILE                          ,Dona,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,XILE                          ,Home,2
2011,DISTRICTE 1,CEMENTIRI VELL                ,"XINA, LA                      ",Dona,5
2011,DISTRICTE 1,CEMENTIRI VELL                ,"XINA, LA                      ",Home,10
2011,DISTRICTE 1,CENTRE                        ,ALEMANYA                      ,Home,1
2011,DISTRICTE 1,CENTRE                        ,ALGÈRIA                       ,Home,1
2011,DISTRICTE 1,CENTRE                        ,ANDORRA                       ,Home,1
2011,DISTRICTE 1,CENTRE                        ,"ARGENTINA, L                  ",Dona,7
2011,DISTRICTE 1,CENTRE                        ,"ARGENTINA, L                  ",Home,2
2011,DISTRICTE 1,CENTRE                        ,BOLÍVIA                       ,Dona,4
2011,DISTRICTE 1,CENTRE                        ,BOLÍVIA                       ,Home,3
2011,DISTRICTE 1,CENTRE                        ,"BRASIL, EL                    ",Dona,6
2011,DISTRICTE 1,CENTRE                        ,"BRASIL, EL                    ",Home,3
2011,DISTRICTE 1,CENTRE                        ,"CANADÀ, EL                    ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,COLÒMBIA                      ,Dona,9
2011,DISTRICTE 1,CENTRE                        ,COLÒMBIA                      ,Home,8
2011,DISTRICTE 1,CENTRE                        ,CUBA                          ,Dona,4
2011,DISTRICTE 1,CENTRE                        ,CUBA                          ,Home,2
2011,DISTRICTE 1,CENTRE                        ,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,"EQUADOR, L                    ",Home,3
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,Dona,301
2011,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,Home,300
2011,DISTRICTE 1,CENTRE                        ,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,"ESTATS UNITS D AMÈRICA, ELS   ",Home,2
2011,DISTRICTE 1,CENTRE                        ,"FILIPINES, LES                ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,FINLÀNDIA                     ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,FINLÀNDIA                     ,Home,1
2011,DISTRICTE 1,CENTRE                        ,FRANÇA                        ,Dona,2
2011,DISTRICTE 1,CENTRE                        ,FRANÇA                        ,Home,3
2011,DISTRICTE 1,CENTRE                        ,HONDURES                      ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,HONDURES                      ,Home,2
2011,DISTRICTE 1,CENTRE                        ,HONGRIA                       ,Dona,2
2011,DISTRICTE 1,CENTRE                        ,HONGRIA                       ,Home,1
2011,DISTRICTE 1,CENTRE                        ,"IRAN, L                       ",Home,1
2011,DISTRICTE 1,CENTRE                        ,ITÀLIA                        ,Dona,6
2011,DISTRICTE 1,CENTRE                        ,ITÀLIA                        ,Home,14
2011,DISTRICTE 1,CENTRE                        ,"JAPÓ, EL                      ",Dona,2
2011,DISTRICTE 1,CENTRE                        ,"MARROC, EL                    ",Dona,24
2011,DISTRICTE 1,CENTRE                        ,"MARROC, EL                    ",Home,30
2011,DISTRICTE 1,CENTRE                        ,MÈXIC                         ,Home,1
2011,DISTRICTE 1,CENTRE                        ,NICARAGUA                     ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,NIGÈRIA                       ,Home,1
2011,DISTRICTE 1,CENTRE                        ,"PAÏSOS BAIXOS, ELS            ",Home,2
2011,DISTRICTE 1,CENTRE                        ,"PAKISTAN, EL                  ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,"PAKISTAN, EL                  ",Home,5
2011,DISTRICTE 1,CENTRE                        ,"PARAGUAI, EL                  ",Dona,5
2011,DISTRICTE 1,CENTRE                        ,"PARAGUAI, EL                  ",Home,1
2011,DISTRICTE 1,CENTRE                        ,"PERÚ, EL                      ",Dona,3
2011,DISTRICTE 1,CENTRE                        ,"PERÚ, EL                      ",Home,2
2011,DISTRICTE 1,CENTRE                        ,POLÒNIA                       ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,PORTUGAL                      ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,"REGNE UNIT, EL                ",Dona,2
2011,DISTRICTE 1,CENTRE                        ,"REGNE UNIT, EL                ",Home,3
2011,DISTRICTE 1,CENTRE                        ,"REPÚBLICA DOMINICANA, LA      ",Dona,5
2011,DISTRICTE 1,CENTRE                        ,"REPÚBLICA DOMINICANA, LA      ",Home,1
2011,DISTRICTE 1,CENTRE                        ,"REPÚBLICA TXECA, LA           ",Dona,1
2011,DISTRICTE 1,CENTRE                        ,ROMANIA                       ,Dona,8
2011,DISTRICTE 1,CENTRE                        ,ROMANIA                       ,Home,4
2011,DISTRICTE 1,CENTRE                        ,RÚSSIA                        ,Dona,3
2011,DISTRICTE 1,CENTRE                        ,SÈRBIA                        ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,SUÈCIA                        ,Home,1
2011,DISTRICTE 1,CENTRE                        ,TURQUIA                       ,Home,1
2011,DISTRICTE 1,CENTRE                        ,UCRAÏNA                       ,Dona,1
2011,DISTRICTE 1,CENTRE                        ,"URUGUAI, L                    ",Dona,3
2011,DISTRICTE 1,CENTRE                        ,"URUGUAI, L                    ",Home,1
2011,DISTRICTE 1,CENTRE                        ,VENEÇUELA                     ,Dona,6
2011,DISTRICTE 1,CENTRE                        ,XILE                          ,Dona,3
2011,DISTRICTE 1,CENTRE                        ,XILE                          ,Home,7
2011,DISTRICTE 1,CENTRE                        ,"XINA, LA                      ",Dona,9
2011,DISTRICTE 1,CENTRE                        ,"XINA, LA                      ",Home,10
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ALBÀNIA                       ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ARMÈNIA                       ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,BANGLA DESH                   ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,BIELORÚSSIA                   ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,BOLÍVIA                       ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"BRASIL, EL                    ",Dona,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"BRASIL, EL                    ",Home,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,COLÒMBIA                      ,Dona,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,COLÒMBIA                      ,Home,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,CUBA                          ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,CUBA                          ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"EQUADOR, L                    ",Dona,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"EQUADOR, L                    ",Home,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,Dona,57
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,Home,53
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,FINLÀNDIA                     ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,FRANÇA                        ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,GHANA                         ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"GUINEA, LA                    ",Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,HONDURES                      ,Dona,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"ÍNDIA, L                      ",Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"IRAN, L                       ",Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ITÀLIA                        ,Dona,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ITÀLIA                        ,Home,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,JORDÀNIA                      ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,MALÀISIA                      ,Home,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"MARROC, EL                    ",Dona,8
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"MARROC, EL                    ",Home,5
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,MÈXIC                         ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,MÈXIC                         ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,NICARAGUA                     ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PAKISTAN, EL                  ",Home,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PARAGUAI, EL                  ",Dona,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PARAGUAI, EL                  ",Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PERÚ, EL                      ",Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PERÚ, EL                      ",Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"REPÚBLICA DOMINICANA, LA      ",Dona,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ROMANIA                       ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ROMANIA                       ,Home,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,RÚSSIA                        ,Dona,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"SENEGAL, EL                   ",Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"SENEGAL, EL                   ",Home,6
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,SUÏSSA                        ,Dona,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,UCRAÏNA                       ,Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"URUGUAI, L                    ",Home,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,VENEÇUELA                     ,Dona,3
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,VENEÇUELA                     ,Home,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,XILE                          ,Home,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"XINA, LA                      ",Dona,4
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"XINA, LA                      ",Home,4
2011,DISTRICTE 1,VALLPARADÍS                   ,ALEMANYA                      ,Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"ARGENTINA, L                  ",Dona,3
2011,DISTRICTE 1,VALLPARADÍS                   ,"ARGENTINA, L                  ",Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"BRASIL, EL                    ",Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,COLÒMBIA                      ,Dona,2
2011,DISTRICTE 1,VALLPARADÍS                   ,COLÒMBIA                      ,Home,2
2011,DISTRICTE 1,VALLPARADÍS                   ,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"EQUADOR, L                    ",Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,Dona,47
2011,DISTRICTE 1,VALLPARADÍS                   ,ESPANYA                       ,Home,44
2011,DISTRICTE 1,VALLPARADÍS                   ,"FILIPINES, LES                ",Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,FRANÇA                        ,Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"IRAN, L                       ",Home,2
2011,DISTRICTE 1,VALLPARADÍS                   ,ISRAEL                        ,Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,ITÀLIA                        ,Home,2
2011,DISTRICTE 1,VALLPARADÍS                   ,"MARROC, EL                    ",Dona,4
2011,DISTRICTE 1,VALLPARADÍS                   ,"MARROC, EL                    ",Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"PARAGUAI, EL                  ",Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,POLÒNIA                       ,Home,3
2011,DISTRICTE 1,VALLPARADÍS                   ,PORTUGAL                      ,Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"REPÚBLICA DOMINICANA, LA      ",Dona,3
2011,DISTRICTE 1,VALLPARADÍS                   ,ROMANIA                       ,Dona,2
2011,DISTRICTE 1,VALLPARADÍS                   ,ROMANIA                       ,Home,2
2011,DISTRICTE 1,VALLPARADÍS                   ,RÚSSIA                        ,Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"SENEGAL, EL                   ",Dona,1
2011,DISTRICTE 1,VALLPARADÍS                   ,"SENEGAL, EL                   ",Home,1
2011,DISTRICTE 1,VALLPARADÍS                   ,VENEÇUELA                     ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ALEMANYA                      ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ALGÈRIA                       ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,ALGÈRIA                       ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"ARGENTINA, L                  ",Dona,3
2011,DISTRICTE 2,CA N ANGLADA                  ,"ARGENTINA, L                  ",Home,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ARMÈNIA                       ,Dona,3
2011,DISTRICTE 2,CA N ANGLADA                  ,ARMÈNIA                       ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,BOLÍVIA                       ,Dona,8
2011,DISTRICTE 2,CA N ANGLADA                  ,BOLÍVIA                       ,Home,6
2011,DISTRICTE 2,CA N ANGLADA                  ,"BRASIL, EL                    ",Dona,3
2011,DISTRICTE 2,CA N ANGLADA                  ,BULGÀRIA                      ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,COLÒMBIA                      ,Dona,14
2011,DISTRICTE 2,CA N ANGLADA                  ,COLÒMBIA                      ,Home,11
2011,DISTRICTE 2,CA N ANGLADA                  ,CUBA                          ,Dona,6
2011,DISTRICTE 2,CA N ANGLADA                  ,CUBA                          ,Home,3
2011,DISTRICTE 2,CA N ANGLADA                  ,EGIPTE                        ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,EGIPTE                        ,Home,3
2011,DISTRICTE 2,CA N ANGLADA                  ,EL SALVADOR                   ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"EQUADOR, L                    ",Dona,8
2011,DISTRICTE 2,CA N ANGLADA                  ,"EQUADOR, L                    ",Home,12
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,Dona,133
2011,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,Home,128
2011,DISTRICTE 2,CA N ANGLADA                  ,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,FRANÇA                        ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,FRANÇA                        ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,GÀMBIA                        ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,GÀMBIA                        ,Home,4
2011,DISTRICTE 2,CA N ANGLADA                  ,GHANA                         ,Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,GHANA                         ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"GUINEA EQUATORIAL, LA         ",Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"GUINEA EQUATORIAL, LA         ",Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,HONDURES                      ,Dona,7
2011,DISTRICTE 2,CA N ANGLADA                  ,HONDURES                      ,Home,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ITÀLIA                        ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,ITÀLIA                        ,Home,2
2011,DISTRICTE 2,CA N ANGLADA                  ,JORDÀNIA                      ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"MARROC, EL                    ",Dona,99
2011,DISTRICTE 2,CA N ANGLADA                  ,"MARROC, EL                    ",Home,135
2011,DISTRICTE 2,CA N ANGLADA                  ,MÈXIC                         ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,NIGÈRIA                       ,Dona,4
2011,DISTRICTE 2,CA N ANGLADA                  ,NIGÈRIA                       ,Home,7
2011,DISTRICTE 2,CA N ANGLADA                  ,"PAÏSOS BAIXOS, ELS            ",Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"PAÏSOS BAIXOS, ELS            ",Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"PAKISTAN, EL                  ",Home,22
2011,DISTRICTE 2,CA N ANGLADA                  ,"PARAGUAI, EL                  ",Dona,7
2011,DISTRICTE 2,CA N ANGLADA                  ,"PARAGUAI, EL                  ",Home,4
2011,DISTRICTE 2,CA N ANGLADA                  ,"PERÚ, EL                      ",Dona,3
2011,DISTRICTE 2,CA N ANGLADA                  ,"PERÚ, EL                      ",Home,3
2011,DISTRICTE 2,CA N ANGLADA                  ,"REGNE UNIT, EL                ",Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"REGNE UNIT, EL                ",Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"REPÚBLICA DOMINICANA, LA      ",Dona,10
2011,DISTRICTE 2,CA N ANGLADA                  ,"REPÚBLICA DOMINICANA, LA      ",Home,11
2011,DISTRICTE 2,CA N ANGLADA                  ,ROMANIA                       ,Dona,14
2011,DISTRICTE 2,CA N ANGLADA                  ,ROMANIA                       ,Home,9
2011,DISTRICTE 2,CA N ANGLADA                  ,RÚSSIA                        ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,RÚSSIA                        ,Home,2
2011,DISTRICTE 2,CA N ANGLADA                  ,"SENEGAL, EL                   ",Dona,6
2011,DISTRICTE 2,CA N ANGLADA                  ,"SENEGAL, EL                   ",Home,27
2011,DISTRICTE 2,CA N ANGLADA                  ,UCRAÏNA                       ,Dona,3
2011,DISTRICTE 2,CA N ANGLADA                  ,UCRAÏNA                       ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"URUGUAI, L                    ",Dona,1
2011,DISTRICTE 2,CA N ANGLADA                  ,VENEÇUELA                     ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,VENEÇUELA                     ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,XILE                          ,Dona,2
2011,DISTRICTE 2,CA N ANGLADA                  ,XILE                          ,Home,1
2011,DISTRICTE 2,CA N ANGLADA                  ,"XINA, LA                      ",Dona,8
2011,DISTRICTE 2,CA N ANGLADA                  ,"XINA, LA                      ",Home,11
2011,DISTRICTE 2,DISSEMINATS                   ,ESPANYA                       ,Dona,1
2011,DISTRICTE 2,DISSEMINATS                   ,ESPANYA                       ,Home,1
2011,DISTRICTE 2,MONTSERRAT                    ,COLÒMBIA                      ,Dona,1
2011,DISTRICTE 2,MONTSERRAT                    ,COLÒMBIA                      ,Home,2
2011,DISTRICTE 2,MONTSERRAT                    ,CUBA                          ,Home,1
2011,DISTRICTE 2,MONTSERRAT                    ,"EQUADOR, L                    ",Dona,1
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,Dona,10
2011,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,Home,10
2011,DISTRICTE 2,MONTSERRAT                    ,FRANÇA                        ,Home,1
2011,DISTRICTE 2,MONTSERRAT                    ,GÀMBIA                        ,Home,1
2011,DISTRICTE 2,MONTSERRAT                    ,HONDURES                      ,Dona,1
2011,DISTRICTE 2,MONTSERRAT                    ,HONDURES                      ,Home,1
2011,DISTRICTE 2,MONTSERRAT                    ,"MARROC, EL                    ",Dona,11
2011,DISTRICTE 2,MONTSERRAT                    ,"MARROC, EL                    ",Home,19
2011,DISTRICTE 2,MONTSERRAT                    ,NIGÈRIA                       ,Home,1
2011,DISTRICTE 2,MONTSERRAT                    ,ROMANIA                       ,Dona,2
2011,DISTRICTE 2,MONTSERRAT                    ,RÚSSIA                        ,Dona,2
2011,DISTRICTE 2,MONTSERRAT                    ,"SENEGAL, EL                   ",Dona,1
2011,DISTRICTE 2,MONTSERRAT                    ,"SENEGAL, EL                   ",Home,6
2011,DISTRICTE 2,MONTSERRAT                    ,TUNÍSIA                       ,Dona,1
2011,DISTRICTE 2,MONTSERRAT                    ,"XINA, LA                      ",Dona,1
2011,DISTRICTE 2,MONTSERRAT                    ,"XINA, LA                      ",Home,3
2011,DISTRICTE 2,TORRE-SANA                    ,ALGÈRIA                       ,Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,"ARGENTINA, L                  ",Dona,3
2011,DISTRICTE 2,TORRE-SANA                    ,"ARGENTINA, L                  ",Home,1
2011,DISTRICTE 2,TORRE-SANA                    ,ÀUSTRIA                       ,Home,1
2011,DISTRICTE 2,TORRE-SANA                    ,BOLÍVIA                       ,Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,"BRASIL, EL                    ",Dona,5
2011,DISTRICTE 2,TORRE-SANA                    ,"BRASIL, EL                    ",Home,1
2011,DISTRICTE 2,TORRE-SANA                    ,BULGÀRIA                      ,Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,COLÒMBIA                      ,Dona,3
2011,DISTRICTE 2,TORRE-SANA                    ,COLÒMBIA                      ,Home,5
2011,DISTRICTE 2,TORRE-SANA                    ,CUBA                          ,Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,"EQUADOR, L                    ",Home,1
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,Dona,89
2011,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,Home,108
2011,DISTRICTE 2,TORRE-SANA                    ,"ESTATS UNITS D AMÈRICA, ELS   ",Dona,2
2011,DISTRICTE 2,TORRE-SANA                    ,"ESTATS UNITS D AMÈRICA, ELS   ",Home,3
2011,DISTRICTE 2,TORRE-SANA                    ,FRANÇA                        ,Dona,1
2011,DISTRICTE 2,TORRE-SANA                    ,FRANÇA                        ,Home,1
