city,description,publisher,url,title,tag,date_extraction,frequency,formats,licenses,date_actualization,lenguage,date_creation,categories,geography
BIL,,,https://www.bilbao.eus/opendata/es/catalogo/temas/formatos/frecuencias/nombre-ascendente?np=18,Ir al buscador de datos avanzado,,2017/10/17_16:53:55,,,,,,,,
BIL,Agenda cultural completa del Ayuntamiento de Bilbao.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-agenda-cultural,Agenda Municipal de Bilbao,"agenda,cultura",2017/10/17_16:53:58,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Cultura y ocio,"Bilbao
"
BIL,"Agenda donde se recogen las actividades de carácter social realizadas por el movimiento asociativo de Bilbao: charlas, seminarios, talleres, jornadas, exposiciones, fiestas, encuentros, ... Promueve: EDE Fundazioa, Gaztetxo Eskola, Urtxintxa Eskola, Área de Participación y Distritos del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-agenda-asociaciones,"Agenda Mensual de actividades de las Asociaciones ""Gizarte Egutegia""","agenda,asociación,entidad",2017/10/17_16:53:58,Mensual,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,29/09/2017,Español,14/11/2014,"Cultura y ocio, Sociedad y bienestar","Bilbao
"
BIL,El Anillo Verde de Bilbao agrupa entre sí a los parques forestales municipales de ambas laderas de Bilbao con los parques urbanos.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-anillo-verde,Anillo verde de Bilbao,"itinerario,parque",2017/10/17_16:53:58,Mensual,WMS, Creative Commons Reconocimiento 3.0 Espania,15/10/2017,"Español, Euskara",15/09/2014,Sociedad y bienestar,"Bilbao
"
BIL,"Relación de edificios de aparcamiento de titularidad municipal destinados al estacionamiento de vehículos por parte de vecinos residentes que ostenten el título constitutivo de su situación y reúnan, en todo momento, las condiciones fijadas en la “Ordenanza Reguladora de los Edificios de Aparcamientos de Titularidad Municipal destinados a Vecinos Residentes y a Régimen de Rotación”.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-aparcamientos-residentes,Aparcamientos Municipales para Residentes,"aparcamientos,equipamientos,vehículo",2017/10/17_16:54:00,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,"Transporte, Urbanismo e infraestructuras","Bilbao
"
BIL,"Mapa de situación de los aparcamientos públicos de rotación de Bilbao, en los que cualquier ciudadano o visitante puede aparcar en ellos adecuándose a las tarifas vigentes.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-parkings-publicos-rotacion,Aparcamientos públicos de rotación de Bilbao,"aparcamientos,equipamientos,vehículo",2017/10/17_16:54:00,Diaria,WMS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,"Español, Euskara",14/09/2014,"Transporte, Urbanismo e infraestructuras","Bilbao
"
BIL,"Avisos de agua y suministros, publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-agua-suministros,Avisos de agua y suministros,"avisos,notas de prensa,prensa,suministros",2017/10/17_16:54:02,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,"Avisos de todo Bilbao, publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-bilbao,Avisos de Bilbao,"avisos,notas de prensa,prensa",2017/10/17_16:54:02,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,"Avisos de todo Bilbao del día de hoy, publicadas por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-bilbao-hoy,Avisos de Bilbao del día actual,"avisos,notas de prensa,prensa",2017/10/17_16:54:03,Diaria,JSON, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Avisos de temas varios.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-otros,Avisos de temas varios,"avisos,notas de prensa,prensa",2017/10/17_16:54:04,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,"Avisos de tráfico y transportes, publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-trafico-transportes,Avisos de tráfico y transportes,"avisos,notas de prensa,prensa,tráfico,transporte",2017/10/17_16:54:05,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,"Avisos del Distrito 1 (Deusto), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito1,Avisos del Distrito 1: Deusto,"avisos,distrito,distrito 1,notas de prensa,prensa",2017/10/17_16:54:06,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Deusto
"
BIL,"Avisos del Distrito 2 (Uribarri), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito2,Avisos del Distrito 2: Uribarri,"avisos,distrito,distrito 2,notas de prensa,prensa",2017/10/17_16:54:07,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Uribarri
"
BIL,"Avisos del Distrito 3 (Otxarkoaga / Txurdinaga), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito3,Avisos del Distrito 3: Otxarkoaga / Txurdinaga,"avisos,distrito,distrito 3,notas de prensa,prensa",2017/10/17_16:54:08,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Otxarkoaga-Txurdinaga
"
BIL,"Avisos del Distrito 4 (Begoña), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito4,Avisos del Distrito 4: Begoña,"avisos,distrito,distrito 4,notas de prensa,prensa",2017/10/17_16:54:09,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Begonia
"
BIL,"Avisos del Distrito 5 (Ibaiondo), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito5,Avisos del Distrito 5: Ibaiondo,"avisos,distrito,distrito 5,notas de prensa,prensa",2017/10/17_16:54:10,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Ibaiondo
"
BIL,"Avisos del Distrito 6 (Abando), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito6,Avisos del Distrito 6: Abando,"avisos,distrito,distrito 6,notas de prensa,prensa",2017/10/17_16:54:12,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Abando
"
BIL,"Avisos del Distrito 7 (Rekalde), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito7,Avisos del Distrito 7: Rekalde,"avisos,distrito,distrito 7,notas de prensa,prensa",2017/10/17_16:54:13,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Rekalde
"
BIL,"Avisos del Distrito 8 (Basurto / Zorroza), publicados por el Gabinete de Prensa del Ayuntamiento de Bilbao.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-avisos-distrito8,Avisos del Distrito 8: Basurto / Zorroza,"avisos,distrito,distrito 8,notas de prensa,prensa",2017/10/17_16:54:14,Diaria,RSS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Basurto-Zorroza
"
BIL,Relación de  barrios de Bilbao.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-barrios,Barrios estadísticos de Bilbao,barrio,2017/10/17_16:54:15,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,"Demografía, Urbanismo e infraestructuras","Bilbao
"
BIL,Listado de calles de Bilbao.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-calles,Calles de Bilbao,calle,2017/10/17_16:54:16,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,"Demografía, Urbanismo e infraestructuras","Bilbao
"
BIL,"Cámaras de tráfico de Bilbao en tiempo real. La imagen se procesa y se actualiza cada 5 segundos aproximadamente. El Ayuntamiento de Bilbao se reserva el derecho de deshabilitar una cámara para preservar la seguridad de ciudadanos y visitantes.
NOTA: El Ayuntamiento de Bilbao se reserva el derecho de deshabilitar una cámara para preservar la seguridad de ciudadanos y visitantes.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-camaras-trafico,Cámaras de tráfico de Bilbao en tiempo real,"cámaras,tráfico,transporte,vehículo",2017/10/17_16:54:17,Diaria,WMS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,"Español, Euskara",15/09/2014,Transporte,"Bilbao
"
BIL,"Relación de conjuntos de datos que el Ayuntamiento de Bilbao publica en formatos abiertos en el portal Bilbao Open Data.
Los datos publicados en Bilbao Open Data, respetan los derechos de privacidad de las personas, están libres de restricciones para su utilización, son gratuitos y se ofrecen en formatos estructurados y abiertos para facilitar su reutilización.
Cualquier persona, entidad o empresa, puede descargar, reutilizar y generar valor a partir de los datos publicados en Bilbao Open Data.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-catalogo,Catálogo de datos publicados en el Portal Bilbao Open Data,catálogo,2017/10/17_16:54:18,Diaria,RDF-XML, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,"Relación de los contratistas del Ayuntamiento de Bilbao, desde el año 2005.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratistas,Contratistas del Ayuntamiento de Bilbao,"contratista,contrato,perfil de contratante",2017/10/17_16:54:19,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos de obras del Ayuntamiento de Bilbao adjudicados desde el año 2005.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos-obras,Contratos adjudicados de obras,"contrato,obras,perfil de contratante",2017/10/17_16:54:21,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,"Detalle de los contratos públicos de otros tipos diferentes a obras, servicios o suministros del Ayuntamiento de Bilbao adjudicados desde el año 2005.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos-otros,"Contratos adjudicados de otros tipos diferentes a obras, servicios o suministros","contrato,perfil de contratante",2017/10/17_16:54:21,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos de servicios del Ayuntamiento de Bilbao adjudicados desde el año 2005.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos-servicios,Contratos adjudicados de servicios,"contrato,perfil de contratante,servicios",2017/10/17_16:54:23,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos de suministros del Ayuntamiento de Bilbao adjudicados desde el año 2005.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos-suministros,Contratos adjudicados de suministros,"contrato,perfil de contratante,suministros",2017/10/17_16:54:23,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2005.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2005,Contratos adjudicados durante el año 2005,"2005,contrato,perfil de contratante",2017/10/17_16:54:25,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2006.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2006,Contratos adjudicados durante el año 2006,"2006,contrato,perfil de contratante",2017/10/17_16:54:25,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2008.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2008,Contratos adjudicados durante el año 2008,"2008,contrato,perfil de contratante",2017/10/17_16:54:27,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2007.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2007,Contratos adjudicados durante el año 2007,"2007,contrato,perfil de contratante",2017/10/17_16:54:27,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2010.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2010,Contratos adjudicados durante el año 2010,"2010,contrato,perfil de contratante",2017/10/17_16:54:29,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2009.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2009,Contratos adjudicados durante el año 2009,"2009,contrato,perfil de contratante",2017/10/17_16:54:29,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2012.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2012,Contratos adjudicados durante el año 2012,"2012,contrato,perfil de contratante",2017/10/17_16:54:32,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2011.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2011,Contratos adjudicados durante el año 2011,"2011,contrato,perfil de contratante",2017/10/17_16:54:32,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2014.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2014,Contratos adjudicados durante el año 2014,"2014,contrato,perfil de contratante",2017/10/17_16:54:34,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2013.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2013,Contratos adjudicados durante el año 2013,"2013,contrato,perfil de contratante",2017/10/17_16:54:34,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2015.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2015,Contratos adjudicados durante el año 2015,"2015,contrato,perfil de contratante",2017/10/17_16:54:36,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,20/03/2015,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2016.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2016,Contratos adjudicados durante el año 2016,"2016,contrato,perfil de contratante",2017/10/17_16:54:36,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,10/02/2016,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2010 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2010,Convenios suscritos por el Ayuntamiento de Bilbao 2010,"2010,convenios",2017/10/17_16:54:37,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,01/12/2014,Sector público,"Bilbao
"
BIL,Detalle de los contratos públicos del Ayuntamiento de Bilbao adjudicados en el año 2017.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-contratos2017,Contratos adjudicados durante el año 2017,"2017,contrato,perfil de contratante",2017/10/17_16:54:37,Diaria,"CSV,XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,20/01/2017,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2012 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2012,Convenios suscritos por el Ayuntamiento de Bilbao 2012,"2012,convenios",2017/10/17_16:54:39,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,01/12/2014,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2011 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2011,Convenios suscritos por el Ayuntamiento de Bilbao 2011,"2011,convenios",2017/10/17_16:54:39,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,01/12/2014,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2014 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2014,Convenios suscritos por el Ayuntamiento de Bilbao 2014,"2014,convenios",2017/10/17_16:54:41,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,01/12/2014,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2013 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2013,Convenios suscritos por el Ayuntamiento de Bilbao 2013,"2013,convenios",2017/10/17_16:54:41,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,01/12/2014,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2016 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2016,Convenios suscritos por el Ayuntamiento de Bilbao 2016,"2016,convenios",2017/10/17_16:54:43,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,10/02/2016,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2015 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2015,Convenios suscritos por el Ayuntamiento de Bilbao 2015,"2015,convenios",2017/10/17_16:54:43,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,19/10/2015,Sector público,"Bilbao
"
BIL,"Relación de convenios suscritos en el año 2017 por el  Ayuntamiento de Bilbao con otros entes para, en atención al interés público, llevar a cabo la colaboración o cooperación en determinadas materias.",Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convenios-2017,Convenios suscritos por el Ayuntamiento de Bilbao 2017,"2017,convenios",2017/10/17_16:54:45,Diaria,"XML,JSON", Creative Commons Reconocimiento 3.0 Espania,08/08/2017,Español,08/08/2017,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2009.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2009,Convocatorias de la Mesa de Contratación del año 2009,"2009,contrato,perfil de contratante,sesión",2017/10/17_16:54:45,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2011.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2011,Convocatorias de la Mesa de Contratación del año 2011,"2011,contrato,perfil de contratante,sesión",2017/10/17_16:54:47,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2010.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2010,Convocatorias de la Mesa de Contratación del año 2010,"2010,contrato,perfil de contratante,sesión",2017/10/17_16:54:47,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2013.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2013,Convocatorias de la Mesa de Contratación del año 2013,"2013,contrato,perfil de contratante,sesión",2017/10/17_16:54:49,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2012.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2012,Convocatorias de la Mesa de Contratación del año 2012,"2012,contrato,perfil de contratante,sesión",2017/10/17_16:54:49,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2015.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2015,Convocatorias de la Mesa de Contratación del año 2015,"2015,contrato,perfil de contratante,sesión",2017/10/17_16:54:51,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,12/01/2015,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2014.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2014,Convocatorias de la Mesa de Contratación del año 2014,"2014,contrato,perfil de contratante,sesión",2017/10/17_16:54:51,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2016.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2016,Convocatorias de la Mesa de Contratación del año 2016,"2016,contrato,perfil de contratante,sesión",2017/10/17_16:54:53,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,10/02/2016,Sector público,"Bilbao
"
BIL,Relación de las convocatorias de la Mesa de Contratación del año 2017.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-convocatorias-mesa-contratacion-2017,Convocatorias de la Mesa de Contratación del año 2017,"2017,contrato,perfil de contratante,sesión",2017/10/17_16:54:53,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,08/08/2017,Español,08/07/2017,Sector público,"Bilbao
"
BIL,Relación de distritos y secciones estadísticas de Bilbao 2016.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-distrito-seccion-2016,Distritos y secciones estadísticas de Bilbao 2016,"2016,distrito,sección",2017/10/17_16:54:55,Anual,CSV, Creative Commons Reconocimiento 3.0 Espania,01/01/2016,Español,01/01/2016,"Demografía, Urbanismo e infraestructuras","Bilbao
"
BIL,Relación de  distritos de Bilbao.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-distritos,Distritos estadísticos de Bilbao,distrito,2017/10/17_16:54:56,Diaria,CSV, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,Español,30/10/2014,"Demografía, Urbanismo e infraestructuras","Bilbao
"
BIL,Relación de distritos y secciones estadísticas de Bilbao 2017.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-distrito-seccion-2017,Distritos y secciones estadísticas de Bilbao 2017,"2017,distrito,sección",2017/10/17_16:54:57,Anual,CSV, Creative Commons Reconocimiento 3.0 Espania,01/01/2017,Español,01/01/2017,"Demografía, Urbanismo e infraestructuras","Bilbao
"
BIL,Estado del tráfico de Bilbao en tiempo real.,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-estado-trafico,Estado del tráfico de Bilbao en tiempo real,"tráfico,transporte,vehículo",2017/10/17_16:54:57,Diaria,WMS, Creative Commons Reconocimiento 3.0 Espania,17/10/2017,"Español, Euskara",14/09/2014,Transporte,"Bilbao
"
BIL,Habitantes del municipio de Bilbao por barrio y sexo (totales).,Ayuntamiento de Bilbao,https://www.bilbao.eus/opendata/es/catalogo/dato-habitantes-barrio-sexo-2016,Habitantes por barrio y sexo (totales) 2016,"2016,barrio,habitantes",2017/10/17_16:54:59,Anual,CSV, Creative Commons Reconocimiento 3.0 Espania,01/01/2016,"Español, Euskara",15/09/2014,Demografía,"Bilbao
"
