EQUIPAMENT,ÀREA,CATEGORIA,ADREÇA,LOCALITZACIÓ
ESCOLA MUNICIPAL DEL TREBALL (Edifici antic),Educació,Formació Professional,"C/ Roger de Flor, 66","(41.607946, 2.282796)"
ESCOLA MUNICIPAL SALVADOR LLOBET,Educació,Escola Infantil,"C/ Roger de Flor, 64","(41.608504, 2.28297)"
GRA. EQUIPAMENT JUVENIL,Cultura,Centre cultural - cívic,"Pl. Esglèsia, 8","(41.607494, 2.286528)"
GRANOLLERS PROMOCIONS S.A,Administracions Públiques,Ajuntament,"C/ Sant Jaume, 16, 5è depatx 1","(41.608333, 2.285459)"
EDIFICI MUNICIPAL PORXADA 6,Administracions Públiques,Ajuntament,"Pl. Porxada, 6","(41.608138, 2.287235)"
MASIA TRES TORRES,Administracions Públiques,Ajuntament,"C/ Tres Torres, 18-20","(41.598349, 2.28401)"
MUSEU DE GRANOLLERS,Cultura,Museu,"C/ Anselm Clavé, 40-42","(41.606904, 2.288475)"
MUSEU DE GRANOLLERS. CIÈNCIES NATURALS (Edifici vell),Cultura,Museu,"Avda. Francesc Macià, 51","(41.601732, 2.287777)"
OFICINA D'INFORMACIÓ TURÍSTICA DEL VALLÈS ORIENTAL,Administracions Públiques,Administració autonòmica,"C/ Anselm Clavé, 2","(41.608257, 2.288815)"
PALAU D'ESPORTS (Sala 1),Esports,Instal.lació esportiva,"C/ Voluntaris 92, 2","(41.598413, 2.287807)"
PAVELLÓ MUNICIPAL DEL CONGOST,Esports,Instal.lació esportiva,"C/ Maria Palau,19-21","(41.613872, 2.279053)"
PAVELLÓ MUNICIPAL DEL TUB,Esports,Instal.lació esportiva,"C/ Camp de les Moreres, 23 ¿ 25","(41.599834, 2.280601)"
"PAVELLÓ MUNICIPAL D'ESPORTS, EL PARQUET",Esports,Instal.lació esportiva,"Pg. Lluís Companys, 2","(41.601869, 2.282181)"
PISCINES MUNICIPALS,Esports,Instal.lació esportiva,"Pg. Lluís Companys, 4","(41.600713, 2.282247)"
PISTES DE PETANCA PARC DE PONENT,Esports,Instal.lació esportiva,C/ de Rafael deCasanova,"(41.612756, 2.285352)"
PISTES DE PETANCA DEL CARRER DE LLEVANT,Esports,Instal.lació esportiva,"C/ de Llevant, s/n","(41.603504, 2.291657)"
PISTES MUNICIPALS D'ATLETISME,Esports,Instal.lació esportiva,"C/ Camp de les Moreres, 18","(41.601062, 2.280406)"
SALA FRANCESC TARAFA,Cultura,Centre cultural - cívic,"C/ Corró, 47","(41.610136, 2.287921)"
EDIFICI MUNICIPAL PORTALET 4,Administracions Públiques,Ajuntament,"C/ Portalet, 4","(41.607696, 2.287519)"
TANATORI MUNICIPAL,Urgències i Adreces d'interès,Tanatori,"Camí del Cementiri, cant. Veneçuela","(41.606923, 2.299254)"
TEATRE AUDITORI DE GRANOLLERS,Cultura,Teatre,"C/ Torras i Bages, 50","(41.610979, 2.286785)"
"EBASP ZONA 1 CONGOST, CAN GILI, PONENT, TERRA ALTA",Sanitat i Benestar Social,Atenció social primària,"C/ Maria Palau, 19-21","(41.613949, 2.279232)"
"EBASP ZONA 2 LLEDONER, CAN MÒNIC, GRANOLLERS-NORD, L'HOSTAL",Sanitat i Benestar Social,Atenció social primària,"C/ del Lledoner, 6","(41.617329, 2.289487)"
"EBASP ZONA 3 TRES TORRES, SANT MIQUEL, PALOU, CAN BASSA, SOTA EL CAMÍ RAL",Sanitat i Benestar Social,Atenció social primària,"C/ Mare de Déu de Montserrat, 47","(41.600116, 2.28511)"
PETITS I GRANS SUD,Sanitat i Benestar Social,Atenció social primària,"C/ Julià Centelles, 14-16","(41.599425, 2.288039)"
CENTRE OBERT PONENT,Sanitat i Benestar Social,Centre obert,"C/ València, pati interior","(41.613786, 2.286999)"
ESCOLA BRESSOL MUNICIPAL TORTUGA,Educació,Escola bressol - Llar d'infants,"C/ Garrotxa, 8","(41.591144, 2.288948)"
PAVELLÓ CLUB BÀSQUET GRANOLLERS,Esports,Instal.lació esportiva,"C/ Girona, s/n.","(41.616781, 2.293689)"
POLICIA LOCAL,Urgències i Adreces d'interès,Policia,"C/ Princesa, 55","(41.604634, 2.284596)"
UNITAT OPERATIVA DE SERVEIS (UOS),Administracions Públiques,Ajuntament,"C/ de Can Many, 8 Coll de la Manya","(41.595131, 2.268735)"
IMPREMTA MUNICIPAL,Administracions Públiques,Ajuntament,"Avda. Prat de la Riba, 77","(41.601903, 2.282921)"
CEMENTIRI MUNICIPAL,Urgències i Adreces d'interès,Cementiri,"Camí del Cementiri, s/n","(41.60904, 2.299576)"
INSPECCIÓ TÈCNICA DE VEHICLES (ITV),Urgències i Adreces d'interès,ITV,,"(41.577547, 2.273479)"
EDIFICI MUNICIPAL SANT JOSEP 7,Administracions Públiques,Ajuntament,"C/ Sant Josep, 7","(41.607453, 2.284155)"
CONSELL ESPORTIU VALLÈS ORIENTAL,Esports,Instal.lació esportiva,"Avda. del Parc, 9, 2a planta Ap de correus 183","(41.607192, 2.290334)"
BIBLIOTECA ROCA UMBERT,Cultura,Biblioteca,"Avda. Prat de la Riba, 77","(41.602522, 2.28421)"
EDIFICI MUNICIPAL CAN PUNTES,Administracions Públiques,Ajuntament,"C/ Sta Elisabeth, 16","(41.608978, 2.287933)"
CAMP DE FUTBOL DE PALOU,Esports,Instal.lació esportiva,"Pg. Fluvial,Km 2","(41.584788, 2.277937)"
CENTRE EDUCACIÓ AMBIENTAL DE CAN CABANYES,Medi Ambient,Educació ambiental,Ctra.Granollers a Montmeló,"(41.568291, 2.269178)"
CENTRE PER A L'AUTONOMIA PERSONAL SÍRIUS,Sanitat i Benestar Social,Atenció especialitzada,"C/ Almogàvers, 24 A","(41.612271, 2.286303)"
OFICINA D'ATENCIÓ CIUTADANA,Administracions Públiques,Ajuntament,"C/ Sant Josep, 7","(41.607453, 2.284155)"
PISTES DE TENNIS MUNICIPALS,Esports,Instal.lació esportiva,"C/ Camp de les Moreres, 23 - 25","(41.600001, 2.281773)"
CENTRE D'ACOLLIDA D'ANIMALS DE COMPANYIA FONT DEL RÀDIUM,Urgències i Adreces d'interès,Centre d'acollida d'animals,"c/ Severo Ochoa, 103","(41.602575, 2.268278)"
ESCOLA LLEDONER,Educació,Escola Infantil,"C/ Rosselló, 95","(41.618175, 2.289343)"
ARXIU MUNICIPAL DE GRANOLLERS,Administracions Públiques,Ajuntament,"C/ Sant Josep, 7","(41.607453, 2.284155)"
OFICINES ROCA UMBERT. FÀBRICA DE LES ARTS,Administracions Públiques,Ajuntament,"Avda. Prat de la Riba, 77","(41.602357, 2.284782)"
LA TROCA. CENTRE DE CULTURA POPULAR I TRADICIONAL,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.602384, 2.283413)"
CUB. ESPAI D'ASSAIG MUSICAL,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.60213, 2.284083)"
CENTRE CÍVIC NORD,Cultura,Centre cultural - cívic,"C/ del Lledoner, 6","(41.61736, 2.288995)"
CENTRE D'ATENCIÓ INTEGRAL A LES FAMÍLIES (CAIF),Sanitat i Benestar Social,Atenció especialitzada,"C/ Jaume Corbera, 2","(41.621103, 2.292492)"
PAVELLÓ MUNICIPAL DE CAN BASSA,Esports,Instal.lació esportiva,"C/ Caterina Albert, 15","(41.592538, 2.288948)"
CAN JONCH. CENTRE DE CULTURA PER LA PAU,Administracions Públiques,Ajuntament,"C/ Rec, 19","(41.60945, 2.284949)"
SERVEI DE MEDI AMBIENT I ESPAIS VERDS,Administracions Públiques,Ajuntament,"C/ Sant Jaume, 16, 5è depatx 1","(41.608318, 2.28552)"
EDIFICI MUNICIPAL CORRÓ 49,Sanitat i Benestar Social,Atenció especialitzada,"C/ Torres i Bages, 15","(41.610282, 2.288043)"
CASA MESTRES DE PALOU,Educació,Centre obert,"Pg. Francesc Fàbregas,40","(41.586489, 2.282364)"
ESCOLA BRESSOL EL TELER,Educació,Escola bressol - Llar d'infants,"C/ Corró, 349","(41.620898, 2.291679)"
MUSEU DE GRANOLLERS. L'ADOBERIA. CENTRE D'INTERPRETACIÓ HISTÒRICA DEL GRANOLLERS MEDIEVAL,Cultura,Museu,"Pl. Esglèsia, 7","(41.607402, 2.286393)"
ESPAI D'ARTS,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.602314, 2.282991)"
LA TÈRMICA,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.601576, 2.283893)"
PISTES DE PETANCA GRANOLLERS,Esports,Instal.lació esportiva,"C/ Camp de les Moreres, 23 - 25","(41.599721, 2.279838)"
LABORATORI DE SALUT PÚBLICA I CONSUM,Administracions Públiques,Ajuntament,"C/ Joan Camps i Giró, 3","(41.607285, 2.281844)"
ANTIGUES ESCOLES DE PALOU,Cultura,Centre cultural - cívic,"Pg. Francesc Fàbregas, 40","(41.586546, 2.281981)"
CAN MUNTANYOLA. CENTRE DE SERVEIS AVANÇATS A LES EMPRESES,Administracions Públiques,Ajuntament,"C/ Camí del Mig, 22","(41.593905, 2.281582)"
ESCOLA BRESSOL GIRAVOLTES (del Barri Congost),Educació,Escola bressol - Llar d'infants,"Ctra de Caldes, núm 52","(41.612769, 2.279436)"
PISTES DE PETANCA PL.LLIBERTAT,Esports,Instal.lació esportiva,Pl. Llibertat,"(41.613803, 2.279746)"
CENTRE AUDIOVISUAL,Mitjans de Comunicació,Ràdio - Televisió,"Avda. Prat de la Riba, 77","(41.601903, 2.284441)"
NAU B1. CENTRE DE CREACIÓ I DIFUSIÓ MUSICAL,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.601801, 2.283672)"
ESPAI D'ASSAIG CIRC ROCA UMBERT,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.602153, 2.284596)"
TALLERS ARTISTES ROCA UMBERT,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.601984, 2.284954)"
ESPAI D'ASSAIG DANSA ROCA UMBERT,Cultura,Centre cultural - cívic,"Avda. Prat de la Riba, 77","(41.601832, 2.283664)"
PISTES DE PETANCA AV.MARIE CURIE,Esports,Instal.lació esportiva,"Avda. Marie Curie, 7 B","(41.59498, 2.287507)"
PISTES DE PETANCA CAN BASSA,Esports,Instal.lació esportiva,Camí de Can Bassa,"(41.590484, 2.286328)"
OFICINA MUNICIPAL D'INFORMACIÓ AL CONSUMIDOR (OMIC),Sanitat i Benestar Social,Assistència primària,"C/ Portalet, 4","(41.607649, 2.28744)"
CENTRE D'INFORMACIÓ I RECURSOS PER A LES DONES (CIRD),Sanitat i Benestar Social,Atenció social primària,"C/ Portalet, 4","(41.607611, 2.287424)"
AUDITORI DEL CENTRE CULTURAL DE GRANOLLERS,Cultura,Centre cultural - cívic,"C/ Joan Camps i Giró, 1","(41.607265, 2.282268)"
SALA CIUTAT DEL CENTRE CULTURAL DE GRANOLLERS,Cultura,Centre cultural - cívic,"C/ Joan Camps i Giró, 1","(41.607286, 2.282341)"
SALA CINEMA AUDITORI CENTRE CULTURAL DE GRANOLLERS,Cultura,Centre cultural - cívic,"C/ Joan Camps i Giró, 1","(41.607254, 2.282416)"
CENTRE D'ATENCIÓ I SEGUIMENT A LES DROGODEPENDÈNCIES (CAS),Administracions Públiques,Ajuntament,"C/ Joan Camps i Giró, 3","(41.607284, 2.281903)"
PISTES DE PETANCA SANT MIQUEL,Esports,Instal.lació esportiva,Pl. Sant Miquel,"(41.60057, 2.285527)"
PISTES DE PETANCA FONT VERDA,Esports,Instal.lació esportiva,Trav. Muntanya,"(41.607365, 2.292989)"
CENTRE OBERT CONGOST,Sanitat i Benestar Social,Centre obert,"C/ Maria Palau, 25 (Passatge interior)","(41.614552, 2.279348)"
CENTRE OBERT CENTRE,Sanitat i Benestar Social,Centre obert,"carrer Joan Prim, 38","(41.610694, 2.289833)"
